Sample	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	151
C028_S24_L001_R1_001	190.0	51.0	126.0	43.0	139.0	34.0	65.0	1230.0	72.0	56.0	1820.0	343.0	64.0	933.0	67.0	23.0	31.0	41.0	38.0	42.0	50.0	33.0	4354.0	71084.0
C028_S24_L001_R2_001	194.0	52.0	130.0	45.0	145.0	34.0	67.0	1246.0	71.0	56.0	1855.0	345.0	65.0	940.0	67.0	25.0	33.0	40.0	37.0	42.0	49.0	33.0	3988.0	71370.0
C029_S25_L001_R1_001	271.0	91.0	205.0	72.0	260.0	67.0	116.0	2819.0	109.0	102.0	3338.0	618.0	61.0	1758.0	73.0	41.0	38.0	61.0	49.0	29.0	67.0	50.0	8138.0	127665.0
C029_S25_L001_R2_001	274.0	92.0	205.0	72.0	264.0	67.0	116.0	2869.0	113.0	102.0	3365.0	620.0	62.0	1790.0	75.0	40.0	39.0	61.0	52.0	31.0	67.0	53.0	7044.0	128625.0
C030_S26_L001_R1_001	368.0	102.0	181.0	66.0	231.0	65.0	105.0	2194.0	151.0	92.0	2732.0	540.0	65.0	1412.0	84.0	37.0	46.0	47.0	68.0	30.0	50.0	39.0	6816.0	106327.0
C030_S26_L001_R2_001	357.0	103.0	179.0	66.0	233.0	62.0	101.0	2187.0	150.0	93.0	2722.0	537.0	65.0	1420.0	85.0	38.0	47.0	46.0	69.0	30.0	50.0	43.0	5936.0	107229.0
C031_S27_L001_R1_001	234.0	107.0	194.0	57.0	237.0	44.0	99.0	2629.0	87.0	75.0	2869.0	634.0	49.0	1534.0	100.0	30.0	33.0	55.0	33.0	30.0	50.0	45.0	7518.0	112967.0
C031_S27_L001_R2_001	237.0	106.0	196.0	58.0	235.0	46.0	103.0	2659.0	91.0	76.0	2923.0	652.0	50.0	1568.0	102.0	29.0	36.0	57.0	31.0	28.0	49.0	43.0	6252.0	114083.0
C032_S28_L001_R1_001	189.0	67.0	161.0	58.0	180.0	48.0	94.0	1747.0	73.0	72.0	2179.0	444.0	51.0	1903.0	78.0	35.0	50.0	49.0	51.0	34.0	65.0	37.0	6892.0	107122.0
C032_S28_L001_R2_001	194.0	65.0	161.0	62.0	184.0	49.0	91.0	1784.0	77.0	69.0	2187.0	454.0	52.0	1965.0	80.0	34.0	49.0	51.0	52.0	35.0	66.0	37.0	6072.0	107809.0
